Designator,Mid X,Mid Y,Rotation,Layer
AR1,315.53,-228.495,90.0,bottom
C1,238.89,-153.72,0.0,bottom
C10,226.5,-206.2725,90.0,bottom
C11,237.4625,-165.6325,270.0,bottom
C12,237.4625,-161.1925,90.0,bottom
C13,285.0,-222.58,180.0,bottom
C14,285.25,-228.61,270.0,bottom
C15,285.0,-232.0,180.0,bottom
C16,405.5,-284.08,90.0,top
C17,401.00632,-286.735998,270.0,top
C18,405.5,-231.0,90.0,top
C19,400.99632,-233.648498,270.0,top
C2,220.95,-153.72,180.0,bottom
C20,399.0,-189.0,0.0,top
C21,391.0,-193.228619,270.0,top
C22,353.43,-260.21,0.0,top
C23,350.835,-255.88,180.0,top
C24,308.705,-173.58,90.0,top
C25,338.785,-173.58,90.0,top
C26,368.785,-173.58,90.0,top
C27,398.865,-173.58,90.0,top
C28,253.5,-288.0,90.0,top
C29,257.5,-279.0,90.0,top
C3,226.4625,-181.5125,270.0,top
C30,259.765,-261.5,270.0,top
C31,259.765,-270.5,90.0,top
C32,261.765,-261.5,270.0,top
C33,261.765,-270.5,90.0,top
C34,263.765,-261.5,270.0,top
C35,263.765,-270.5,90.0,top
C36,251.5,-266.1,270.0,top
C37,254.8,-264.6,0.0,top
C38,268.94,-270.5,0.0,top
C39,276.45,-279.0,180.0,top
C4,226.5,-184.0,270.0,bottom
C40,281.45,-279.0,180.0,top
C41,276.45,-281.0,180.0,top
C42,281.45,-281.0,180.0,top
C43,276.45,-283.0,180.0,top
C44,281.45,-283.0,180.0,top
C45,276.45,-285.0,180.0,top
C46,281.45,-285.0,180.0,top
C5,226.5,-188.4925,90.0,top
C6,226.5,-191.0325,90.0,bottom
C7,226.4625,-196.1125,90.0,top
C8,226.5,-199.2925,270.0,bottom
C9,226.5,-203.7325,90.0,top
D1,415.26132,-275.998498,270.0,top
D10,410.75,-235.548498,0.0,top
D11,416.5,-170.5,270.0,top
D12,416.5,-160.5,270.0,top
D13,416.5,-150.5,270.0,top
